granule_id,time_start,time_end,product,location,split,us_url,eu_url,as_url,cksum,granule_size
20180201T191000_maiac_la_0.hdf,2018-02-01T17:25:00.000Z,2018-02-01 19:10:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180201T191000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180201T191000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180201T191000_maiac_la_0.hdf,911405771,10446736
20180202T195000_maiac_la_0.hdf,2018-02-02T18:05:00.000Z,2018-02-02 19:50:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180202T195000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180202T195000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180202T195000_maiac_la_0.hdf,2244451908,11090180
20180203T203000_maiac_la_0.hdf,2018-02-03T17:10:00.000Z,2018-02-03 20:30:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180203T203000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180203T203000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180203T203000_maiac_la_0.hdf,3799527997,12468482
20180204T194000_maiac_la_0.hdf,2018-02-04T17:55:00.000Z,2018-02-04 19:40:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180204T194000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180204T194000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180204T194000_maiac_la_0.hdf,4105997844,13064424
20180205T202000_maiac_la_0.hdf,2018-02-05T17:00:00.000Z,2018-02-05 20:20:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180205T202000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180205T202000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180205T202000_maiac_la_0.hdf,1805072340,12549313
20180206T192500_maiac_la_0.hdf,2018-02-06T17:40:00.000Z,2018-02-06 19:25:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180206T192500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180206T192500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180206T192500_maiac_la_0.hdf,1506011969,12667100
20180207T201000_maiac_la_0.hdf,2018-02-07T18:25:00.000Z,2018-02-07 20:10:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180207T201000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180207T201000_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180207T201000_maiac_la_0.hdf,1447452534,13406121
20180208T191500_maiac_la_0.hdf,2018-02-08T17:30:00.000Z,2018-02-08 19:15:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180208T191500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180208T191500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180208T191500_maiac_la_0.hdf,209628497,12601910
20180209T195500_maiac_la_0.hdf,2018-02-09T18:10:00.000Z,2018-02-09 19:55:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180209T195500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180209T195500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180209T195500_maiac_la_0.hdf,4285140225,12219769
20180210T203500_maiac_la_0.hdf,2018-02-10T17:15:00.000Z,2018-02-10 20:35:00+00:00,maiac,la,train,s3://drivendata-competition-airathon-public-us/pm25/train/maiac/2018/20180210T203500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-eu/pm25/train/maiac/2018/20180210T203500_maiac_la_0.hdf,s3://drivendata-competition-airathon-public-as/pm25/train/maiac/2018/20180210T203500_maiac_la_0.hdf,3826852515,10039826
