code,variable,group,product,height,start_year,end_year
APTMP   , Apparent temperature,1,,,,
DPT     , Dewpoint temperature,1 (didn't get),,,,
SPF H   , Specific humidity,1 (didn't get),,,,
TMP     , Temperature,1,,,,
CRAIN   , Categorical rain (yes=1; no=0),2,,,,
PRATE   , Precipitation rate,2,,,,
TOZNE   , Total ozone,1,,,,
U GRD   , u-component of wind,1,,,,
GUST    , Wind speed (gust),1,,,,
V GRD   , v-component of wind,1,,,,
PRES    , Pressure,1,,,,
HGT     , Geopotential height,1,,,,
SUNSD   , Sunshine duration,1,,,,
A PCP   , Total precipitation,2 (didn't get),,,,
